,0,1
89,-275.386487381536,-283.3560791015625
90,-299.3991332462714,-292.0722961425781
91,-270.05712410068213,-269.09649658203125
92,-288.08008452855717,-294.7485046386719
93,-277.1640539926739,-280.355712890625
94,-285.6911440268573,-269.52545166015625
95,-266.5744973811187,-254.1151580810547
96,-278.11983707586205,-275.0415954589844
97,-293.5451595572285,-288.2273864746094
98,-266.3077927672922,-251.44349670410156
99,-279.6467354029318,-277.5636291503906
100,-300.5016446393337,-318.6484069824219
101,-276.13266702076584,-277.1094665527344
102,-291.3019113616095,-272.4399108886719
103,-292.88337711793463,-300.3338317871094
104,-289.4029891259153,-316.9139709472656
105,-275.7398629742889,-277.9949951171875
106,-287.45296750177414,-273.299560546875
107,-282.70213605079886,-281.069580078125
108,-291.25134809781923,-281.3084411621094
109,-274.32297509633423,-260.80242919921875
110,-285.28981007473453,-261.1026916503906
111,-307.5228299174372,-301.5419921875
112,-271.49488260312813,-269.5032958984375
113,-245.59852464129025,-249.58534240722656
114,-290.05165054388306,-292.4678039550781
115,-292.83397410234386,-285.145751953125
116,-290.8183802628466,-292.2538146972656
117,-269.5197903131143,-280.4157409667969
118,-276.2269815145197,-287.5791320800781
119,-263.0133961330428,-290.5636291503906
120,-289.98914994947523,-297.1574401855469
121,-279.3502900043664,-287.5915222167969
122,-270.33506656645596,-268.0689392089844
123,-261.4607872584744,-262.5818176269531
124,-287.2137731634871,-294.6903076171875
125,-302.226256353341,-277.3526916503906
126,-284.9271773228811,-276.0419616699219
127,-286.6491383624522,-281.1412353515625
128,-297.8121207391413,-320.9251708984375
129,-273.0144808469371,-296.34814453125
130,-301.15874345150513,-308.5403137207031
131,-286.49056819714656,-273.2429504394531
132,-282.15266639497816,-288.6500549316406
133,-259.92435547854797,-270.7723388671875
134,-282.5479400476641,-278.7286071777344
135,-292.8650542228349,-301.6899108886719
136,-272.9926817132875,-272.19171142578125
137,-279.27844573579966,-295.264892578125
138,-290.44100422626536,-267.06622314453125
139,-260.4404928818185,-245.0186004638672
140,-276.3486478180065,-292.74310302734375
141,-270.1878551407347,-253.6636199951172
142,-301.3823750209428,-288.22259521484375
143,-281.8959309705657,-271.2689514160156
144,-283.2559756088057,-265.70098876953125
145,-279.6513905518561,-280.1016540527344
146,-306.2305868369493,-300.7717590332031
147,-275.19185701668806,-289.5116882324219
148,-300.9191808957967,-291.3873291015625
149,-291.4755141427692,-261.5185546875
150,-280.4269732410827,-281.8999938964844
151,-286.9830364577605,-283.0924987792969
152,-275.80999740698843,-277.8946533203125
153,-288.34587188623766,-278.9294128417969
154,-286.2243330382207,-288.1274108886719
155,-286.02471070060193,-305.3157653808594
156,-275.3745116984022,-294.5252380371094
157,-280.3855003165381,-297.94732666015625
158,-273.4566019363708,-259.93426513671875
159,-283.5763988094627,-298.65582275390625
160,-288.4405744960132,-278.46240234375
161,-304.031342872653,-319.91998291015625
162,-288.1519123129361,-295.5690612792969
163,-271.349262451335,-282.6086120605469
164,-280.0840687784936,-270.68341064453125
165,-298.08011099689736,-306.56231689453125
166,-289.7172170625737,-274.74578857421875
167,-283.6471622892833,-260.6429443359375
168,-285.82934085858494,-262.196533203125
169,-302.81382205490155,-313.08453369140625
170,-286.68020631278114,-267.2215576171875
171,-282.6584858935154,-285.56982421875
172,-274.64048954273574,-287.5211181640625
173,-274.77936597302494,-272.72283935546875
174,-280.6337888437476,-280.0365295410156
175,-297.69225681898536,-314.8478698730469
176,-286.3038397731628,-272.0257263183594
177,-270.85706588611913,-293.4158020019531
178,-285.0334616994768,-293.28411865234375
179,-298.3893530130316,-294.1692810058594
180,-281.5020695238465,-279.7076721191406
181,-300.1825944476428,-296.65899658203125
182,-258.1473519216042,-276.1069641113281
183,-291.31215253120865,-276.2818298339844
184,-292.17249558923703,-288.96148681640625
185,-287.026535238984,-284.8138427734375
186,-267.46798807377047,-281.25079345703125
187,-293.27162723756095,-300.01287841796875
188,-280.12401674002774,-263.3348083496094
189,-280.2781594808118,-265.4470520019531
190,-292.03789260927925,-261.93695068359375
191,-292.252117006613,-252.89695739746094
192,-296.9597926621097,-275.3704833984375
193,-294.7206796685251,-288.63006591796875
194,-306.8561566077052,-302.2894287109375
195,-273.2034121357976,-247.29263305664062
196,-292.7871337699837,-283.8413391113281
197,-290.9104524780952,-290.326171875
198,-299.6262134331062,-297.7448425292969
199,-295.06648535146815,-294.8166809082031
200,-308.2747538279542,-306.13189697265625
201,-300.34157527015185,-326.5803527832031
202,-310.1899292047184,-305.5187072753906
203,-290.76405150295784,-305.2439880371094
204,-307.25646244157406,-315.9418029785156
205,-293.0949015701011,-283.129638671875
206,-287.7934088287015,-296.07537841796875
207,-310.15065229682557,-312.95330810546875
208,-307.2301904887316,-313.774658203125
209,-288.30479776224547,-295.4335021972656
210,-298.2945940942212,-307.75079345703125
211,-295.5748999118464,-329.7707214355469
212,-298.2222804286853,-311.50860595703125
213,-274.4395334664887,-301.72845458984375
214,-287.40116987801997,-313.50042724609375
215,-312.6807203482939,-312.6524353027344
216,-283.291336034067,-300.15679931640625
217,-300.4709959956184,-300.2393493652344
218,-308.320730876215,-279.6849365234375
219,-303.47128130784785,-297.2168884277344
220,-296.8847861369683,-302.3829040527344
221,-303.2681986313934,-309.2817687988281
222,-297.77875927704315,-300.4451599121094
223,-303.0054669548087,-265.672607421875
224,-285.2122716141963,-278.1582946777344
225,-281.79001836989937,-277.1961669921875
226,-291.3158488662324,-302.7172546386719
227,-288.494846570797,-290.1622009277344
228,-305.949835958217,-309.0684814453125
229,-303.6105897608314,-284.8306884765625
230,-281.18859593594317,-274.27679443359375
231,-283.80697854369026,-272.8684997558594
232,-301.91131699552784,-293.5237121582031
233,-290.2891051697199,-272.4770202636719
234,-292.16214216747386,-292.9596862792969
235,-302.19571125295056,-293.0541687011719
236,-278.70353094467663,-269.9505920410156
237,-305.46562068605164,-286.0209045410156
238,-309.96144274457293,-312.46002197265625
239,-314.5968407691682,-308.95819091796875
240,-304.6891431517023,-303.4434509277344
241,-298.4426743076206,-294.4476623535156
242,-304.1525316258275,-298.198486328125
243,-307.8876148892005,-303.24615478515625
244,-302.6936698714702,-301.0141906738281
245,-295.0408071350163,-322.4113464355469
246,-290.7158788279191,-305.44384765625
247,-296.71729961218756,-303.5757141113281
248,-301.7846172034806,-298.2020263671875
249,-308.37672172034445,-324.10772705078125
250,-299.6732858284357,-297.57598876953125
251,-300.8850239191542,-321.6982421875
252,-295.4199721022336,-283.41534423828125
253,-285.8786127128364,-272.4764099121094
254,-298.06677156830585,-297.6026916503906
255,-281.7659318730118,-301.28009033203125
256,-309.8850178999104,-296.880615234375
257,-295.0308038128603,-281.0845947265625
258,-301.85034688262755,-287.9078369140625
259,-290.3946017838724,-285.379150390625
260,-288.5328801743829,-312.3337097167969
261,-277.9513659283481,-284.2465515136719
262,-303.77130149396584,-290.9942932128906
263,-287.17498142769426,-308.25537109375
264,-293.1079738605802,-285.27276611328125
265,-304.1638746222623,-304.64910888671875
266,-297.31870330280043,-300.08544921875
267,-319.16516950303776,-303.5586853027344
268,-296.8010200228872,-289.78131103515625
269,-315.1151661416219,-311.5896301269531
270,-288.79423877726816,-286.40313720703125
271,-285.3237919428354,-289.6298828125
272,-301.2362320256576,-306.25506591796875
273,-305.07414254893257,-304.4170837402344
274,-311.5299299005539,-297.19134521484375
275,-281.70440303808925,-302.1416320800781
276,-294.5565205230613,-291.89569091796875
277,-306.98856069045644,-311.6764831542969
278,-314.9843346555864,-304.5875244140625
279,-299.53085409464467,-301.5509338378906
280,-294.0999025984317,-295.5829162597656
281,-295.1059249514945,-267.3356018066406
282,-290.9768589957413,-296.1387939453125
283,-276.04811859845006,-295.1507568359375
284,-299.6398437796335,-277.0733642578125
285,-296.6887314995587,-298.858642578125
286,-290.49852864433785,-299.4438781738281
287,-294.5453153829188,-272.7983703613281
288,-302.09523342428713,-284.1838073730469
289,-303.26309945610717,-304.9334716796875
290,-297.21255247076834,-288.22503662109375
291,-290.95041338058377,-304.1167907714844
292,-287.0756164292617,-301.0647277832031
293,-299.8204587119705,-329.870849609375
294,-311.3828033998676,-300.65594482421875
295,-298.23115846843837,-308.5087585449219
296,-299.0911917222099,-294.1362609863281
297,-302.65690404458593,-294.5511169433594
298,-294.65788377631725,-278.4466552734375
299,-301.7416603602867,-286.4997863769531
300,-293.9153617341277,-290.3612365722656
301,-304.4111634677439,-312.3689270019531
302,-285.7984036978763,-268.50579833984375
303,-299.5978319141127,-324.8722839355469
304,-293.8048971351758,-292.06072998046875
305,-307.3984400050381,-301.5031433105469
306,-303.7317116154042,-305.3133239746094
307,-291.24228721176337,-306.6773986816406
308,-304.0424559142572,-298.25079345703125
309,-277.68266438002684,-280.9462585449219
310,-298.36616240095447,-287.171875
311,-301.81647934575426,-286.18231201171875
312,-279.63889336335495,-281.2099609375
313,-274.03364864379824,-310.0452880859375
314,-290.780494881628,-315.3321228027344
315,-313.10578101266884,-291.5838317871094
316,-298.5855375866,-287.6045227050781
317,-301.64447334251406,-301.9516906738281
318,-286.6209070622345,-294.5519714355469
319,-285.2940555351084,-290.21539306640625
320,-298.8234613459243,-304.2409362792969
321,-288.4210675227949,-278.27764892578125
322,-289.1912608672453,-300.5884094238281
323,-289.03891941655786,-293.0756530761719
324,-291.803097714916,-293.9917297363281
325,-297.19764775650594,-282.5527038574219
326,-277.7204200021987,-296.6622009277344
327,-299.07463416221776,-293.064208984375
328,-289.2252412281423,-304.6842346191406
329,-282.9195676289733,-277.85302734375
330,-306.66070175983265,-296.3140869140625
331,-275.4544921513533,-307.3184814453125
