,0,1
142,-1774.8558413209194,-1723.414794921875
143,-1764.7638033209146,-1669.7330322265625
144,-1705.7875614757038,-1696.9610595703125
145,-1688.014575248678,-1704.3043212890625
146,-1686.8265159119826,-1733.876708984375
147,-1655.1263426230737,-1751.4254150390625
148,-1674.2340646895107,-1751.5972900390625
149,-1646.518069523097,-1752.7735595703125
150,-1710.5127996406718,-1730.4654541015625
151,-1817.5916114047784,-1648.10498046875
152,-1654.1291650061594,-1693.7200927734375
153,-1741.591329131222,-1670.37646484375
154,-1649.1436983296796,-1679.5068359375
155,-1549.0859833902819,-1744.667236328125
156,-1639.808666866488,-1683.8199462890625
157,-1659.8586331729039,-1713.520263671875
158,-1753.6589051314854,-1669.1461181640625
159,-1767.1708248495659,-1707.68115234375
160,-1750.2195432810447,-1659.7628173828125
161,-1721.4141977198615,-1706.517822265625
162,-1785.0224716288456,-1680.5372314453125
163,-1668.2325464722417,-1752.2069091796875
164,-1717.927048304277,-1742.41845703125
165,-1768.1683629015606,-1690.536865234375
166,-1766.602588516298,-1754.4215087890625
167,-1678.915340490105,-1775.396484375
168,-1750.728217003185,-1682.4051513671875
169,-1791.3630948347886,-1684.07275390625
170,-1641.4323912016177,-1826.3212890625
171,-1786.6525283950382,-1723.3114013671875
172,-1879.9140155450991,-1677.6932373046875
173,-1763.2405670914577,-1744.3773193359375
174,-1633.6613397900942,-1794.6302490234375
175,-1618.5203440554728,-1792.7093505859375
176,-1831.165539866117,-1692.023193359375
177,-1644.2885747565808,-1758.01953125
178,-1710.9848097851082,-1747.262451171875
179,-1716.9899574118826,-1763.46875
180,-1718.8252151128956,-1740.3455810546875
181,-1672.1246261269541,-1720.878662109375
182,-1568.1852248779348,-1782.12890625
183,-1643.8705999149656,-1713.817138671875
184,-1663.504000358063,-1675.4642333984375
185,-1689.06486304089,-1672.2271728515625
186,-1803.0819080341494,-1650.1510009765625
187,-1643.746243019999,-1670.6141357421875
188,-1731.377965298936,-1664.9581298828125
189,-1716.9861933811135,-1694.61474609375
190,-1739.5649467054386,-1647.7515869140625
191,-1683.4574152207929,-1657.9112548828125
192,-1790.1724331158061,-1654.6063232421875
193,-1760.4900251486827,-1647.1217041015625
194,-1711.2445091801517,-1664.85546875
195,-1783.8713024267902,-1678.8956298828125
196,-1765.8550256087478,-1730.7305908203125
197,-1723.9346669619142,-1712.4580078125
198,-1642.076822564366,-1719.445556640625
199,-1706.8495197935385,-1712.978759765625
200,-1665.8149940497206,-1755.265869140625
201,-1681.5790226233585,-1763.4949951171875
202,-1768.931076613639,-1737.9949951171875
203,-1754.6686037053194,-1759.239013671875
204,-1687.138602647891,-1732.4461669921875
205,-1713.303492156895,-1783.315185546875
206,-1776.7225862690987,-1698.017578125
207,-1729.875442496063,-1699.3963623046875
208,-1636.9448728162884,-1789.0191650390625
209,-1658.6054423605565,-1746.37451171875
210,-1697.8535759523402,-1733.072509765625
211,-1682.1833237624319,-1730.02880859375
212,-1771.814453347247,-1675.6636962890625
213,-1580.024289196394,-1749.0604248046875
214,-1691.1127428309871,-1666.0743408203125
215,-1675.891720185046,-1648.65087890625
216,-1679.3566049550216,-1666.21630859375
217,-1737.2110704976446,-1704.7391357421875
218,-1745.6141358436612,-1634.587890625
219,-1710.4863541642244,-1627.246826171875
220,-1662.56222574719,-1722.6546630859375
221,-1655.04787443602,-1698.5040283203125
222,-1754.0749771253097,-1679.0093994140625
223,-1809.6684843477967,-1638.842529296875
224,-1718.3696205790827,-1715.2025146484375
225,-1685.685562924052,-1727.724365234375
226,-1795.0242979721825,-1681.761962890625
227,-1773.3252452661077,-1686.4639892578125
228,-1690.7709235082111,-1764.2449951171875
229,-1723.0958891238267,-1749.93505859375
230,-1840.3189595896886,-1682.2716064453125
231,-1748.5322119633165,-1751.2275390625
232,-1781.1688077131596,-1685.5133056640625
233,-1672.9255963045514,-1745.2969970703125
234,-1616.0437989889515,-1817.1949462890625
235,-1586.6570448866523,-1862.03271484375
236,-1708.4963450369792,-1782.512939453125
237,-1724.4711218873017,-1725.9874267578125
238,-1640.8161867156916,-1807.0208740234375
239,-1677.0846365008815,-1813.6927490234375
240,-1707.030643089841,-1715.1544189453125
241,-1705.3291250245536,-1720.346435546875
242,-1773.6309370151255,-1671.706787109375
243,-1779.5683623799018,-1649.069091796875
244,-1746.713125216189,-1631.5565185546875
245,-1705.4242403586388,-1622.857421875
246,-1675.7193026251825,-1599.158935546875
247,-1710.0336961786993,-1644.4893798828125
248,-1653.4229062068794,-1693.5174560546875
249,-1751.3805112885846,-1671.2674560546875
250,-1585.7162049522788,-1710.0029296875
251,-1656.3605025302277,-1701.09375
252,-1811.3541695718782,-1607.9952392578125
253,-1764.0331882651426,-1656.8057861328125
254,-1754.4569728607937,-1707.7696533203125
255,-1674.802921950195,-1736.5592041015625
256,-1550.1967961966113,-1773.1158447265625
257,-1671.262128805219,-1721.586181640625
258,-1729.25439417251,-1781.15185546875
259,-1691.925926270338,-1763.40234375
260,-1709.3774668975734,-1763.6983642578125
261,-1605.334011742643,-1736.042236328125
262,-1735.6346026122822,-1693.9010009765625
263,-1687.0301154987053,-1710.7520751953125
264,-1667.0943580828557,-1721.5089111328125
265,-1732.9098598470277,-1673.2132568359375
266,-1728.9394212375905,-1658.6026611328125
267,-1720.8868858072212,-1679.7559814453125
